整点数据表：cp_sensor_data_hour 即时数据表：cp_sensor_data,,,,,,,
字段,参数,单位,,,,,
CP_Data_DateTime,数据时间,,,,,,
 CP_Data_StationID,站点id,,,,,,
 CP_Data_Temp,空气温度,℃,,,,,
 CP_Data_Hum,空气湿度,%,,,,,
 CP_Data_WindSpeed,风速,m/s,,,,,
 CP_Data_WindDirection,风向,度,,,,,
 CP_Data_Bar,气压,hPa,,,,,
 CP_Data_Solar,太阳辐射,w/m2,,,,,
 CP_Data_Rain,日雨量,mm,,,,,
 CP_Data_CO2,二氧化碳,ppm,,,,,
 CP_Data_More1,紫外强度,w/m2,,,,,
 CP_Data_More2,pm2.5,ug/m3,,,,,
CP_Data_Tuwen,土壤温度,℃,,,,,
CP_Data_Tushi,土壤水分,%,,,,,
